Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000019549 1978 1937 1711 1555 2191 1651
ENSG00000019582 29 40 23 54 366 260
ENSG00000019991 1231 1254 1027 2494 1457 1134
ENSG00000019995 1252 1108 1040 1210 1554 1073
ENSG00000020129 1848 2338 1747 2255 2344 2067
ENSG00000020181 12115 14550 11430 5655 13832 11817
ENSG00000020219 0 0 0 0 0 0
ENSG00000020256 796 926 754 720 959 686
ENSG00000020426 738 627 629 732 792 667
ENSG00000020577 2410 2913 2168 2668 2869 2113
ENSG00000020633 0 0 0 0 1 0
ENSG00000020922 819 742 649 554 736 520
ENSG00000021300 3 3 1 0 4 3
ENSG00000021355 917 910 845 2434 1940 1521
ENSG00000021461 0 0 0 0 0 0
ENSG00000021488 1 4 0 1 2 2
ENSG00000021574 508 517 447 520 586 429
ENSG00000021645 2 11 2 2 8 4
ENSG00000021762 2443 3045 2187 1961 2360 2124
ENSG00000021776 1786 1606 1428 1783 1991 1615
ENSG00000021826 669 771 607 460 759 558
ENSG00000021852 0 0 0 0 3 0
ENSG00000022267 6627 6524 5862 2239 7582 6055
ENSG00000022277 3013 2903 2651 2418 3215 2715
ENSG00000022355 0 0 0 0 0 0
ENSG00000022556 0 0 0 0 0 0
ENSG00000022567 441 557 448 307 447 402
ENSG00000022840 5173 6147 4813 5166 6004 4950
ENSG00000022976 289 293 285 251 331 266
ENSG00000023041 1134 1201 1069 1117 1288 953
ENSG00000023171 652 760 643 1300 946 814
ENSG00000023191 12037 14971 11655 9610 13472 12770
ENSG00000023228 3228 2977 2658 3231 3620 2899
ENSG00000023287 1990 1923 1530 2217 2597 1794
ENSG00000023318 3100 3073 2356 5588 7333 5154
ENSG00000023330 1510 1548 1363 2144 2122 1610
ENSG00000023445 231 155 151 820 444 377
ENSG00000023516 2097 1794 1622 2058 2358 1565
ENSG00000023572 350 270 290 402 333 268
ENSG00000023608 365 317 336 507 389 298
ENSG00000023697 774 850 761 634 921 683
ENSG00000023734 4159 3552 3390 4190 4362 3570
ENSG00000023839 26 31 32 34 37 27
ENSG00000023892 32 44 39 4 24 19
ENSG00000023902 2176 2534 2095 1927 2228 1925
ENSG00000023909 1319 1385 1217 1400 1304 1042
ENSG00000024048 1672 1644 1412 1851 2687 1859
ENSG00000024422 17366 22496 16058 12242 18836 14764
ENSG00000024526 491 404 419 322 287 191
ENSG00000024862 236 215 165 226 363 285
ENSG00000025039 22 22 28 12 18 9
ENSG00000025156 416 371 347 438 524 367
ENSG00000025293 1546 1579 1351 1246 1290 1021
ENSG00000025423 62 60 58 10 42 16
ENSG00000025434 340 381 285 164 304 254
ENSG00000025708 187 257 209 3081 2874 2614
ENSG00000025770 1186 1608 1218 927 1148 1092
ENSG00000025772 3236 3651 3213 2340 3360 2793
ENSG00000025796 4243 3574 3399 4603 5718 3981
ENSG00000025800 2207 2320 1889 2105 2586 1985
ENSG00000026025 174529 210483 164177 137528 212572 161878
ENSG00000026036 61 85 65 45 46 40
ENSG00000026103 1768 1420 1437 1551 2800 2028
ENSG00000026297 344 464 376 338 377 406
ENSG00000026508 35451 38622 30462 45917 50334 34633
ENSG00000026559 72 103 71 117 65 41
ENSG00000026652 181 188 154 116 182 160
ENSG00000026751 0 0 0 11 1 1
ENSG00000026950 878 1003 779 2623 4307 3242
ENSG00000027001 666 619 641 457 644 461
ENSG00000027075 57 67 68 72 77 61
ENSG00000027644 0 0 0 0 0 0
ENSG00000027697 1636 1508 1399 2310 2408 1824
ENSG00000027847 941 1263 962 1055 1046 1070
ENSG00000027869 4 2 4 1 3 1
ENSG00000028116 838 716 710 1514 1583 1213
ENSG00000028137 135 174 129 308 295 277
ENSG00000028203 2569 2248 2260 2322 3089 2385
ENSG00000028277 664 634 522 2935 641 568
ENSG00000028310 1061 1371 1009 1017 1201 962
ENSG00000028528 5357 5616 4613 4151 6061 4878
ENSG00000028839 589 550 537 673 779 561
ENSG00000029153 1017 1000 840 1171 1222 818
ENSG00000029363 2855 2586 2345 2668 3820 2618
ENSG00000029364 2341 2371 2091 2456 3099 2281
ENSG00000029534 984 1130 889 2632 1520 1222
ENSG00000029559 0 0 0 0 0 0
ENSG00000029639 378 381 312 401 405 299
ENSG00000029725 2633 2618 2356 2585 3172 2451
ENSG00000029993 747 714 666 298 435 359
ENSG00000030066 1781 1528 1522 2258 2857 2159
ENSG00000030110 530 644 477 651 673 613
ENSG00000030304 17 5 7 30 28 17
ENSG00000030419 245 322 335 565 712 467
ENSG00000030582 28257 36246 25306 32697 42086 38932
ENSG00000031003 2491 2196 1956 2203 2644 1879
